记录时间：2014-10-23 21:33:21,991     Timer1:11577988
 
记录时间：2014-10-23 21:33:22,007     Timer1:11578394
 
记录时间：2014-10-23 21:33:22,116     Timer1:11578503
 
记录时间：2014-10-23 21:33:22,225     Timer1:11578612
 
记录时间：2014-10-23 21:33:22,335     Timer1:11578721
 
记录时间：2014-10-23 21:33:22,444     Timer1:11578831
 
记录时间：2014-10-23 21:33:22,553     Timer1:11578940
 
记录时间：2014-10-23 21:33:22,662     Timer1:11579049
 
记录时间：2014-10-23 21:33:22,773     Timer1:11579158
 
记录时间：2014-10-23 21:33:22,883     Timer1:11579267
 
记录时间：2014-10-23 21:33:22,993     Timer1:11579377
 
记录时间：2014-10-23 21:33:23,103     Timer1:11579486
 
记录时间：2014-10-23 21:33:23,213     Timer1:11579595
 
记录时间：2014-10-23 21:33:23,320     Timer1:11579704
 
记录时间：2014-10-23 21:33:23,429     Timer1:11579813
 
记录时间：2014-10-23 21:33:23,539     Timer1:11579923
 
记录时间：2014-10-23 21:33:23,648     Timer1:11580032
 
记录时间：2014-10-23 21:33:23,757     Timer1:11580141
 
记录时间：2014-10-23 21:33:23,866     Timer1:11580250
 
记录时间：2014-10-23 21:33:23,975     Timer1:11580359
 
记录时间：2014-10-23 21:33:24,085     Timer1:11580469
 
记录时间：2014-10-23 21:33:24,194     Timer1:11580578
 
记录时间：2014-10-23 21:33:24,303     Timer1:11580687
 
记录时间：2014-10-23 21:33:24,412     Timer1:11580796
 
记录时间：2014-10-23 21:33:24,521     Timer1:11580905
 
记录时间：2014-10-23 21:33:24,631     Timer1:11581015
 
记录时间：2014-10-23 21:33:24,740     Timer1:11581124
 
记录时间：2014-10-23 21:33:24,849     Timer1:11581233
 
记录时间：2014-10-23 21:33:24,958     Timer1:11581342
 
记录时间：2014-10-23 21:33:25,067     Timer1:11581451
 
记录时间：2014-10-23 21:33:25,177     Timer1:11581561
 
记录时间：2014-10-23 21:33:25,286     Timer1:11581670
 
记录时间：2014-10-23 21:33:25,395     Timer1:11581779
 
记录时间：2014-10-23 21:33:25,504     Timer1:11581888
 
记录时间：2014-10-23 21:33:25,613     Timer1:11581997
 
记录时间：2014-10-23 21:33:25,723     Timer1:11582107
 
记录时间：2014-10-23 21:33:25,832     Timer1:11582216
 
记录时间：2014-10-23 21:33:25,941     Timer1:11582325
 
记录时间：2014-10-23 21:33:26,050     Timer1:11582434
 
记录时间：2014-10-23 21:33:26,159     Timer1:11582543
 
记录时间：2014-10-23 21:33:26,269     Timer1:11582653
 
记录时间：2014-10-23 21:33:26,378     Timer1:11582762
 
记录时间：2014-10-23 21:33:26,487     Timer1:11582871
 
记录时间：2014-10-23 21:33:26,596     Timer1:11582980
 
记录时间：2014-10-23 21:33:26,705     Timer1:11583089
 
记录时间：2014-10-23 21:33:26,815     Timer1:11583199
 
记录时间：2014-10-23 21:33:26,924     Timer1:11583308
 
记录时间：2014-10-23 21:33:27,033     Timer1:11583417
 
记录时间：2014-10-23 21:33:27,142     Timer1:11583526
 
记录时间：2014-10-23 21:33:27,251     Timer1:11583635
 
记录时间：2014-10-23 21:33:27,361     Timer1:11583745
 
记录时间：2014-10-23 21:33:27,470     Timer1:11583854
 
记录时间：2014-10-23 21:33:27,579     Timer1:11583963
 
记录时间：2014-10-23 21:33:27,688     Timer1:11584072
 
记录时间：2014-10-23 21:33:27,797     Timer1:11584181
 
记录时间：2014-10-23 21:33:27,907     Timer1:11584291
 
记录时间：2014-10-23 21:33:28,016     Timer1:11584400
 
记录时间：2014-10-23 21:33:28,125     Timer1:11584509
 
记录时间：2014-10-23 21:33:28,234     Timer1:11584618
 
记录时间：2014-10-23 21:33:28,343     Timer1:11584727
 
记录时间：2014-10-23 21:33:28,453     Timer1:11584837
 
记录时间：2014-10-23 21:33:28,562     Timer1:11584946
 
记录时间：2014-10-23 21:33:28,671     Timer1:11585055
 
记录时间：2014-10-23 21:33:28,780     Timer1:11585164
 
记录时间：2014-10-23 21:33:28,889     Timer1:11585273
 
记录时间：2014-10-23 21:33:28,999     Timer1:11585383
 
记录时间：2014-10-23 21:33:29,108     Timer1:11585492
 
记录时间：2014-10-23 21:33:29,217     Timer1:11585601
 
记录时间：2014-10-23 21:33:29,326     Timer1:11585710
 
记录时间：2014-10-23 21:33:29,435     Timer1:11585819
 
记录时间：2014-10-23 21:33:29,545     Timer1:11585929
 
记录时间：2014-10-23 21:33:29,654     Timer1:11586038
 
记录时间：2014-10-23 21:33:29,763     Timer1:11586147
 
记录时间：2014-10-23 21:33:29,872     Timer1:11586256
 
记录时间：2014-10-23 21:33:29,981     Timer1:11586365
 
记录时间：2014-10-23 21:33:30,090     Timer1:11586475
 
记录时间：2014-10-23 21:33:30,200     Timer1:11586584
 
记录时间：2014-10-23 21:33:30,320     Timer1:11586709
 
记录时间：2014-10-23 21:33:30,422     Timer1:11586802
 
记录时间：2014-10-23 21:33:30,522     Timer1:11586911
 
记录时间：2014-10-23 21:33:30,639     Timer1:11587021
 
记录时间：2014-10-23 21:33:30,748     Timer1:11587130
 
记录时间：2014-10-23 21:33:30,857     Timer1:11587239
 
记录时间：2014-10-23 21:33:30,967     Timer1:11587348
 
记录时间：2014-10-23 21:33:31,076     Timer1:11587457
 
记录时间：2014-10-23 21:33:31,185     Timer1:11587567
 
记录时间：2014-10-23 21:33:31,294     Timer1:11587676
 
记录时间：2014-10-23 21:33:31,403     Timer1:11587785
 
记录时间：2014-10-23 21:33:31,513     Timer1:11587894
 
记录时间：2014-10-23 21:33:31,622     Timer1:11588003
 
记录时间：2014-10-23 21:33:31,731     Timer1:11588113
 
记录时间：2014-10-23 21:33:31,840     Timer1:11588222
 
记录时间：2014-10-23 21:33:31,949     Timer1:11588331
 
记录时间：2014-10-23 21:33:32,059     Timer1:11588440
 
记录时间：2014-10-23 21:33:32,168     Timer1:11588549
 
记录时间：2014-10-23 21:33:32,277     Timer1:11588659
 
记录时间：2014-10-23 21:33:32,386     Timer1:11588768
 
记录时间：2014-10-23 21:33:32,495     Timer1:11588877
 
记录时间：2014-10-23 21:33:32,605     Timer1:11588986
 
记录时间：2014-10-23 21:33:32,714     Timer1:11589095
 
记录时间：2014-10-23 21:33:32,823     Timer1:11589205
 
记录时间：2014-10-23 21:33:32,932     Timer1:11589314
 
记录时间：2014-10-23 21:33:33,041     Timer1:11589423
 
记录时间：2014-10-23 21:33:33,151     Timer1:11589532
 
记录时间：2014-10-23 21:33:33,260     Timer1:11589641
 
记录时间：2014-10-23 21:33:33,369     Timer1:11589751
 
记录时间：2014-10-23 21:33:33,473     Timer1:11589860
 
记录时间：2014-10-23 21:33:33,583     Timer1:11589969
 
记录时间：2014-10-23 21:33:33,695     Timer1:11590078
 
记录时间：2014-10-23 21:33:33,805     Timer1:11590187
 
记录时间：2014-10-23 21:33:33,915     Timer1:11590297
 
记录时间：2014-10-23 21:33:34,025     Timer1:11590406
 
记录时间：2014-10-23 21:33:34,135     Timer1:11590515
 
记录时间：2014-10-23 21:33:34,244     Timer1:11590624
 
记录时间：2014-10-23 21:33:34,353     Timer1:11590733
 
记录时间：2014-10-23 21:33:34,462     Timer1:11590843
 
记录时间：2014-10-23 21:33:34,571     Timer1:11590952
 
记录时间：2014-10-23 21:33:34,681     Timer1:11591061
 
记录时间：2014-10-23 21:33:34,790     Timer1:11591170
 
记录时间：2014-10-23 21:33:34,899     Timer1:11591279
 
记录时间：2014-10-23 21:33:35,008     Timer1:11591389
 
记录时间：2014-10-23 21:33:35,117     Timer1:11591498
 
记录时间：2014-10-23 21:33:35,227     Timer1:11591607
 
记录时间：2014-10-23 21:33:35,336     Timer1:11591716
 
记录时间：2014-10-23 21:33:35,445     Timer1:11591825
 
记录时间：2014-10-23 21:33:35,554     Timer1:11591935
 
记录时间：2014-10-23 21:33:35,663     Timer1:11592044
 
记录时间：2014-10-23 21:33:35,773     Timer1:11592153
 
